052,0,0
1843,750.0,1250.0,1.500,1.110,78,0
1863,765.0,1235.0,1.500,1.149,72,0
1883,790.0,1210.0,1.500,1.118,77,0
1903,800.0,1200.0,1.500,0.459,176,0
1923,820.0,1180.0,1.500,1.104,80,0
1943,830.0,1170.0,1.500,1.172,70,0
1963,840.0,1160.0,1.500,0.396,187,0
1983,870.0,1130.0,1.500,1.143,75,0
2005,895.0,1105.0,1.487,1.157,71,0
2025,920.0,1080.0,1.470,1.149,70,0
2045,940.0,1060.0,1.456,1.158,67,0
2065,965.0,1035.0,1.439,1.136,68,0
2085,985.0,1015.0,1.425,1.124,68,0
2105,1010.0,990.0,1.407,1.099,69,0
2125,1030.0,970.0,1.393,1.126,63,0
2145,1050.0,950.0,1.378,1.134,60,0
2165,1060.0,940.0,1.371,0.402,169,0
2185,1085.0,915.0,1.353,1.088,63,0
2205,1105.0,895.0,1.338,1.086,61,0
2225,1130.0,870.0,1.319,1.065,62,0
2245,1140.0,860.0,1.311,0.366,166,0
2265,1160.0,840.0,1.296,1.089,56,0
2285,1180.0,820.0,1.281,0.573,131,0
2305,1200.0,800.0,1.265,1.150,42,0
2325,1225.0,775.0,1.245,1.136,41,0
2345,1245.0,755.0,1.229,1.111,43,0
2365,1265.0,735.0,1.212,1.053,49,0
2385,1285.0,715.0,1.196,1.055,47,0
2405,1305.0,695.0,1.179,1.042,46,0
2425,1325.0,675.0,1.162,1.012,48,0
2445,1340.0,660.0,1.149,1.042,42,0
2465,1360.0,640.0,1.131,0.990,47,0
2485,1370.0,630.0,1.122,0.344,143,0
2505,1385.0,615.0,1.109,0.944,51,0
2525,1405.0,595.0,1.091,1.000,40,0
2545,1425.0,575.0,1.072,1.000,37,0
2565,1445.0,555.0,1.054,0.962,40,0
2585,1465.0,535.0,1.034,0.935,41,0
2605,1485.0,515.0,1.015,0.901,44,0
2625,1500.0,500.0,1.000,0.892,43,0
2645,1505.0,495.0,0.995,0.267,136,0
2665,1525.0,475.0,0.975,0.905,38,0
2685,1540.0,460.0,0.959,0.909,35,0
2705,1560.0,440.0,0.939,0.909,32,0
2725,1575.0,425.0,0.922,0.885,33,0
2745,1585.0,415.0,0.911,0.287,121,0
2765,1600.0,400.0,0.894,0.879,30,0
2785,1620.0,380.0,0.874,0.826,35,0
2805,1635.0,365.0,0.854,0.877,24,0
2825,1650.0,350.0,0.837,0.833,28,0
2845,1670.0,330.0,0.817,0.775,34,0
2865,1685.0,315.0,0.797,0.775,31,0
2885,1695.0,305.0,0.781,0.769,29,0
2905,1710.0,290.0,0.762,0.781,25,0
2925,1725.0,275.0,0.742,0.781,22,0
2945,1740.0,260.0,0.722,0.741,25,0
2965,1755.0,245.0,0.702,0.699,28,0
2985,1765.0,235.0,0.686,0.671,30,0
3005,1775.0,225.0,0.671,0.468,58,0
3025,1785.0,215.0,0.656,0.654,28,0
3045,1795.0,205.0,0.640,0.671,23,0
3065,1810.0,190.0,0.620,0.654,23,0
3085,1820.0,180.0,0.600,0.613,26,0
3105,1835.0,165.0,0.580,0.599,25,0
3125,1845.0,155.0,0.560,0.613,20,0
3145,1855.0,145.0,0.540,0.562,24,0
3165,1865.0,135.0,0.520,0.454,38,0
3185,1875.0,125.0,0.500,0.565,18,0
3205,1885.0,115.0,0.480,0.562,15,0
3225,1895.0,105.0,0.460,0.510,20,0
3245,1905.0,95.0,0.440,0.542,12,0
3265,1910.0,90.0,0.424,0.257,53,0
3285,1920.0,80.0,0.404,0.497,14,0
3305,1930.0,70.0,0.384,0.495,11,0
3325,1945.0,55.0,0.364,0.562,-1,0
3345,1955.0,45.0,0.344,0.478,7,0
3365,1955.0,45.0,0.324,0.180,49,0
3385,1965.0,35.0,0.304,0.444,6,0
3405,1970.0,30.0,0.284,0.434,5,0
3425,1985.0,15.0,0.264,0.712,-39,0
3445,2000.0,0.0,0.244,1.400,-146,0
3465,2005.0,0.0,0.224,0.412,-1,0
3485,2010.0,0.0,0.204,0.260,18,0
3505,2020.0,0.0,0.184,0.545,-27,0
3525,2030.0,0.0,0.164,0.324,2,0
3545,2035.0,0.0,0.144,0.300,2,0
3565,2045.0,0.0,0.124,0.830,-80,0
3585,2050.0,0.0,0.104,0.316,-6,0
3605,2060.0,0.0,0.084,0.457,-30,0
3625,2060.0,0.0,0.064,0.162,10,0
3645,2070.0,0.0,0.044,0.444,-34,0
3665,2075.0,0.0,0.024,0.244,-8,0
3685,2085.0,0.0,0.004,0.811,-96,0
3705,2095.0,0.0,0.000,2.243,0,0
3725,2095.0,0.0,0.000,0.244,0,0
3745,2105.0,0.0,0.000,0.461,0,0
3765,2105.0,0.0,0.000,0.162,0,0
3785,2105.0,0.0,0.000,0.098,0,0
3805,2105.0,0.0,0.000,0.071,0,0
3825,2115.0,0.0,0.000,0.362,0,0
3845,2115.0,0.0,0.000,0.148,0,0
3865,2120.0,0.0,0.000,0.101,0,0
3885,2125.0,0.0,0.000,0.289,0,0
3905,2125.0,0.0,0.000,0.134,0,0
3925,2125.0,0.0,0.000,0.087,0,0
3945,2125.0,0.0,0.000,0.065,0,0
3965,2125.0,0.0,0.000,0.051,0,0
3985,2130.0,0.0,0.000,0.050,0,0
4006,2130.0,0.0,0.000,0.050,0,0
4026,2135.0,0.0,0.000,0.123,0,0
4046,2135.0,0.0,0.000,0.123,0,0
4066,2135.0,0.0,0.000,0.088,0,0
