0,0
2045,975.0,1025.0,1.432,1.124,1.136,67,0
2065,985.0,1015.0,1.425,0.360,0.942,95,0
2085,1000.0,1000.0,1.414,1.090,0.979,88,0
2105,1025.0,975.0,1.396,1.099,1.009,81,0
2125,1045.0,955.0,1.382,1.085,1.028,77,0
2145,1065.0,935.0,1.367,1.094,1.044,72,0
2165,1090.0,910.0,1.349,1.104,1.059,67,0
2185,1105.0,895.0,1.338,1.166,1.086,62,0
2205,1130.0,870.0,1.319,1.087,1.086,59,0
2225,1150.0,850.0,1.304,1.089,1.087,57,0
2245,1170.0,830.0,1.288,1.064,1.081,56,0
2265,1190.0,810.0,1.273,1.052,1.074,54,0
2285,1205.0,795.0,1.261,0.888,1.027,60,0
2305,1225.0,775.0,1.245,1.052,1.034,57,0
2325,1245.0,755.0,1.229,1.000,1.025,55,0
2345,1255.0,745.0,1.221,1.010,1.021,55,0
2365,1270.0,730.0,1.208,1.028,1.023,53,0
2385,1290.0,710.0,1.192,1.010,1.020,51,0
2405,1310.0,690.0,1.175,1.000,1.015,49,0
2425,1330.0,670.0,1.158,0.971,1.004,49,0
2445,1350.0,650.0,1.140,0.935,0.987,49,0
2465,1365.0,635.0,1.127,0.935,0.974,49,0
2485,1385.0,615.0,1.109,0.971,0.973,46,0
2505,1390.0,610.0,1.105,0.280,0.800,72,0
2525,1400.0,600.0,1.095,0.900,0.825,67,0
2545,1420.0,580.0,1.077,0.901,0.844,61,0
2565,1430.0,570.0,1.068,0.943,0.869,56,0
2585,1445.0,555.0,1.054,0.929,0.884,52,0
2605,1465.0,535.0,1.034,0.911,0.890,48,0
2625,1480.0,520.0,1.020,0.881,0.888,46,0
2645,1500.0,500.0,1.000,0.885,0.887,44,0
2665,1515.0,485.0,0.985,0.877,0.885,42,0
2685,1535.0,465.0,0.964,0.862,0.879,40,0
2705,1550.0,450.0,0.949,0.862,0.875,38,0
2725,1570.0,430.0,0.927,0.788,0.853,38,0
2745,1580.0,420.0,0.917,0.862,0.855,36,0
2765,1595.0,405.0,0.900,0.793,0.840,36,0
2785,1610.0,390.0,0.883,0.794,0.828,35,0
2805,1620.0,380.0,0.872,0.389,0.718,50,0
2825,1635.0,365.0,0.854,0.783,0.735,45,0
2845,1645.0,355.0,0.843,0.382,0.646,57,0
2865,1650.0,350.0,0.837,0.274,0.553,70,0
2885,1665.0,335.0,0.819,0.728,0.597,61,0
2905,1675.0,325.0,0.806,0.432,0.556,65,0
2925,1680.0,320.0,0.800,0.252,0.480,76,0
2945,1690.0,310.0,0.787,0.759,0.550,64,0
2965,1705.0,295.0,0.768,0.762,0.603,53,0
2985,1715.0,285.0,0.755,0.751,0.640,46,0
3005,1735.0,265.0,0.728,0.785,0.676,36,0
3025,1745.0,255.0,0.714,0.764,0.698,31,0
3045,1760.0,240.0,0.693,0.769,0.716,25,0
3065,1775.0,225.0,0.671,0.758,0.726,20,0
3085,1785.0,215.0,0.656,0.714,0.723,18,0
3105,1800.0,200.0,0.632,0.676,0.711,16,0
3125,1810.0,190.0,0.616,0.466,0.650,23,0
3145,1820.0,180.0,0.600,0.654,0.651,20,0
3165,1830.0,170.0,0.583,0.658,0.653,18,0
3185,1845.0,155.0,0.557,0.625,0.646,15,0
3205,1850.0,150.0,0.548,0.404,0.585,22,0
3225,1855.0,145.0,0.539,0.196,0.488,36,0
3245,1870.0,130.0,0.510,0.575,0.510,28,0
3265,1880.0,120.0,0.490,0.552,0.520,23,0
3285,1890.0,110.0,0.469,0.562,0.531,19,0
3305,1895.0,105.0,0.458,0.270,0.465,27,0
3325,1905.0,95.0,0.436,0.532,0.482,21,0
3345,1915.0,85.0,0.412,0.524,0.492,16,0
3365,1925.0,75.0,0.387,0.510,0.497,11,0
3385,1935.0,65.0,0.361,0.495,0.496,7,0
3405,1945.0,55.0,0.332,0.493,0.495,3,0
3425,1955.0,45.0,0.300,0.467,0.488,0,0
3445,1970.0,30.0,0.245,1.630,0.774,-30,0
3465,1980.0,20.0,0.200,0.422,0.686,-45,0
3485,1985.0,15.0,0.173,0.382,0.610,-38,0
3505,1990.0,10.0,0.141,0.353,0.546,-33,0
3525,1995.0,5.0,0.100,0.181,0.454,-26,0
3545,1995.0,5.0,0.100,0.181,0.386,-16,0
3565,2000.0,0.0,0.000,0.158,0.329,0,0
3585,2010.0,0.0,0.000,0.307,0.324,0,0
3605,2025.0,0.0,0.000,0.280,0.313,0,0
